Coordenação-Geral de Estudos e Estatísticas do Trabalho,Coordenação-Geral de Estudos e Estatísticas do Trabalho
Sumário:,
Nº,TABELA
RESULTADOS MENSAIS,
1,"TABELA 1 - ADMISSÕES, DESLIGAMENTOS E SALDO POR GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 - DEZEMBRO DE 2023"
2,"TABELA 2 - ADMISSÕES, DESLIGAMENTOS E SALDO POR NÍVEL GEOGRÁFICO - DEZEMBRO DE 2023"
3,"TABELA 3 - ADMISSÕES, DESLIGAMENTOS E SALDO POR MUNICÍPIO - DEZEMBRO DE 2023"
4,"TABELA 4 - SALDO POR UNIDADE DA FEDERAÇÃO, GRUPAMENTO DE ATIVIDADES ECONÔMICAS E SEÇÃO CNAE 2.0 EM DEZEMBRO DE 2023 - SEM AJUSTES"
SÉRIES HISTÓRICAS,
5,"TABELA 5 - EVOLUÇÃO DE ESTOQUE, ADMISSÕES, DESLIGAMENTOS E SALDO POR MÊS - SEM AJUSTES"
6,"TABELA 5.1 - EVOLUÇÃO DE ESTOQUE, ADMISSÕES, DESLIGAMENTOS E SALDO POR MÊS - COM AJUSTES"
7,"TABELA 6 - EVOLUÇÃO MENSAL DE ESTOQUE, ADMISSÕES, DESLIGAMENTOS E SALDO POR GRUPAMENTO DE ATIVIDADES ECONÔMICAS - SÉRIE SEM AJUSTES"
8,"TABELA 6.1 - EVOLUÇÃO MENSAL DE ESTOQUE, ADMISSÕES, DESLIGAMENTOS E SALDO POR GRUPAMENTO DE ATIVIDADES ECONÔMICAS - SÉRIE COM AJUSTES"
9,"TABELA 7 - EVOLUÇÃO MENSAL DE ESTOQUE, ADMISSÕES, DESLIGAMENTOS E SALDO POR NÍVEL GEOGRÁFICO - SÉRIE SEM AJUSTES"
10,"TABELA 7.1 - EVOLUÇÃO MENSAL DE ESTOQUE, ADMISSÕES, DESLIGAMENTOS E SALDO POR NÍVEL GEOGRÁFICO - SÉRIE COM AJUSTES"
11,"TABELA 8 - EVOLUÇÃO MENSAL DE ESTOQUE, ADMISSÕES, DESLIGAMENTOS E SALDO POR MUNICÍPIO - SÉRIE SEM AJUSTES"
12,"TABELA 8.1 - EVOLUÇÃO MENSAL DE ESTOQUE, ADMISSÕES, DESLIGAMENTOS E SALDO POR MUNICÍPIO - SÉRIE COM AJUSTES"
13,TABELA 9 - EVOLUÇÃO DO SALÁRIO MÉDIO REAL DE ADMISSÃO E DESLIGAMENTO POR MÊS - SEM AJUSTES
