Região e UF,Dezembro/2023 - sem ajuste Admissões,Dezembro/2023 - sem ajuste Desligamentos,Dezembro/2023 - sem ajuste Saldos,Dezembro/2023 - sem ajuste Variação Relativa (%),Acumulado do Ano (2023) Admissões,Acumulado do Ano (2023) Desligamentos,Acumulado do Ano (2023) Saldos,Acumulado do Ano (2023) Variação Relativa (%)
Brasil,1502563.0,1932722.0,-430159.0,-0.9724809365282672,23257812.0,21774214.0,1483598.0,3.495389559406212
Norte,67524.0,87328.0,-19804.0,-0.9146051412594802,1117632.0,1011257.0,106375.0,5.20555520212969
Rondônia,9251.0,11457.0,-2206.0,-0.8161392838248297,158752.0,147810.0,10942.0,4.248132560992655
Acre,3461.0,3825.0,-364.0,-0.37522678541975923,50720.0,46158.0,4562.0,4.941775442777447
Amazonas,15411.0,18247.0,-2836.0,-0.5712570676947683,243615.0,221619.0,21996.0,4.639772187944946
Roraima,2613.0,3465.0,-852.0,-1.1004908292430897,47480.0,42514.0,4966.0,6.888898136973379
Pará,26470.0,37230.0,-10760.0,-1.1863455595284167,448422.0,403571.0,44851.0,5.268623316515621
Amapá,2795.0,3582.0,-787.0,-0.9533962469865651,43288.0,37587.0,5701.0,7.453846556142461
Tocantins,7523.0,9522.0,-1999.0,-0.852095925796469,125355.0,111998.0,13357.0,6.080429003241196
Nordeste,199895.0,241433.0,-41538.0,-0.5675969610647178,3145496.0,2847308.0,298188.0,4.254512861501901
Maranhão,14815.0,18501.0,-3686.0,-0.61104084159852,247535.0,225496.0,22039.0,3.8073635402486303
Piauí,8087.0,11566.0,-3479.0,-1.0302317799408334,146058.0,125892.0,20166.0,6.42640671257716
Ceará,35081.0,38806.0,-3725.0,-0.2876774429220923,560214.0,506260.0,53954.0,4.347174505772169
Rio Grande do Norte,13449.0,16016.0,-2567.0,-0.5344509541833747,212567.0,189937.0,22630.0,4.937447363712925
Paraíba,11954.0,13458.0,-1504.0,-0.32167063408040486,199068.0,179803.0,19265.0,4.278125929906687
Pernambuco,39307.0,47942.0,-8635.0,-0.604692300204692,587803.0,536262.0,51541.0,3.7474988075710516
Alagoas,11015.0,10914.0,101.0,0.02445260069145176,187208.0,163917.0,23291.0,5.932123527539
Sergipe,7753.0,8497.0,-744.0,-0.24058905513822554,121347.0,107967.0,13380.0,4.508071064450592
Bahia,58434.0,75733.0,-17299.0,-0.8717957763336601,883696.0,811774.0,71922.0,3.782284863550716
Sudeste,795919.0,1016847.0,-220928.0,-0.9757418651152409,11825780.0,11099453.0,726327.0,3.3367597054958473
Minas Gerais,162415.0,208925.0,-46510.0,-0.9983619651352511,2587613.0,2446777.0,140836.0,3.149832417178123
Espírito Santo,34300.0,41170.0,-6870.0,-0.8025579050785443,507302.0,473100.0,34202.0,4.188557334567784
Rio de Janeiro,118038.0,121649.0,-3611.0,-0.10221206611883717,1541727.0,1381157.0,160570.0,4.735834966312071
São Paulo,481166.0,645103.0,-163937.0,-1.2059015669430688,7189138.0,6798419.0,390719.0,2.985066302761461
Sul,287486.0,389690.0,-102204.0,-1.2471736819067685,4708813.0,4511154.0,197659.0,2.4955860503028657
Paraná,109632.0,144526.0,-34894.0,-1.148505583388108,1781284.0,1693685.0,87599.0,2.9967668074866656
Santa Catarina,90807.0,129285.0,-38478.0,-1.5780919269922293,1503710.0,1441045.0,62665.0,2.6738800767025745
Rio Grande do Sul,87047.0,115879.0,-28832.0,-1.0606320899330077,1423819.0,1376424.0,47395.0,1.7860446957732221
Centro-Oeste,145820.0,188431.0,-42611.0,-1.0952340317032097,2339495.0,2183539.0,155956.0,4.231047832468347
Mato Grosso do Sul,23150.0,31551.0,-8401.0,-1.3302888124943588,393765.0,365779.0,27986.0,4.6884947094024545
Mato Grosso,38326.0,50577.0,-12251.0,-1.3740528221302026,620164.0,579438.0,40726.0,4.882370430045651
Goiás,56825.0,73053.0,-16228.0,-1.11655659121355,912719.0,862443.0,50276.0,3.6444216992272023
Distrito Federal,27519.0,33250.0,-5731.0,-0.626973308506751,412847.0,375879.0,36968.0,4.222959658672272
Não identificado,5919.0,8993.0,-3074.0,---,120596.0,121503.0,-907.0,---
Fonte: Novo Caged – MTE.,,,,,,,,
"* A variação mensal do emprego toma como referência o estoque do mês anterior, com ajustes.",,,,,,,,
** Resultados acrescidos dos ajustes até a competência de referência; a variação relativa toma como referência os estoques com ajustes do mês atual e do mesmo mês do ano anterior.,,,,,,,,
