Grupamento de Atividades Econômicas e Seção CNAE 2.0,Unidade da Federação Rondônia,Unidade da Federação Acre,Unidade da Federação Amazonas,Unidade da Federação Roraima,Unidade da Federação Pará,Unidade da Federação Amapá,Unidade da Federação Tocantins,Unidade da Federação Maranhão,Unidade da Federação Piauí,Unidade da Federação Ceará,Unidade da Federação Rio Grande do Norte,Unidade da Federação Paraíba,Unidade da Federação Pernambuco,Unidade da Federação Alagoas,Unidade da Federação Sergipe,Unidade da Federação Bahia,Unidade da Federação Minas Gerais,Unidade da Federação Espírito Santo,Unidade da Federação Rio de Janeiro,Unidade da Federação São Paulo,Unidade da Federação Paraná,Unidade da Federação Santa Catarina,Unidade da Federação Rio Grande do Sul,Unidade da Federação Mato Grosso do Sul,Unidade da Federação Mato Grosso,Unidade da Federação Goiás,Unidade da Federação Distrito Federal,Unidade da Federação Não identificado,Unidade da Federação Total
Total,-2206.0,-364.0,-2836.0,-852.0,-10760.0,-787.0,-1999.0,-3686.0,-3479.0,-3725.0,-2567.0,-1504.0,-8635.0,101.0,-744.0,-17299.0,-46510.0,-6870.0,-3611.0,-163937.0,-34894.0,-38478.0,-28832.0,-8401.0,-12251.0,-16228.0,-5731.0,-3074.0,-430159.0
"Agricultura, pecuária, produção florestal, pesca e aquicultura",26.0,14.0,-143.0,18.0,-1399.0,-36.0,-396.0,-541.0,-989.0,-853.0,-462.0,-157.0,-1818.0,-95.0,-142.0,-4302.0,-8071.0,-338.0,-242.0,-15928.0,-1176.0,-2219.0,-4093.0,-1504.0,-862.0,-4933.0,-58.0,-2961.0,-53660.0
Indústria geral,-430.0,-59.0,-518.0,-75.0,-898.0,-169.0,-171.0,71.0,-970.0,-2056.0,-237.0,-570.0,-736.0,79.0,-144.0,-4014.0,-12040.0,-1183.0,-2279.0,-36828.0,-8867.0,-18721.0,-14680.0,-989.0,-1629.0,-2515.0,-378.0,0.0,-111006.0
Indústrias Extrativas,-64.0,0.0,-30.0,0.0,50.0,5.0,-62.0,-15.0,-22.0,10.0,-12.0,5.0,-2.0,-5.0,18.0,-29.0,-11.0,-88.0,167.0,32.0,-67.0,-81.0,-42.0,41.0,-198.0,-28.0,-7.0,0.0,-435.0
Indústrias de Transformação,-380.0,-65.0,-474.0,-74.0,-979.0,-172.0,-110.0,96.0,-757.0,-1947.0,-273.0,-578.0,-841.0,65.0,-181.0,-3940.0,-11710.0,-1233.0,-1064.0,-36375.0,-8713.0,-18491.0,-13989.0,-1014.0,-1369.0,-2624.0,-355.0,0.0,-107547.0
Eletricidade e Gás,2.0,1.0,-18.0,-2.0,44.0,-1.0,2.0,33.0,2.0,-22.0,-4.0,2.0,15.0,12.0,44.0,-6.0,-80.0,2.0,71.0,-99.0,-32.0,-80.0,-33.0,20.0,-103.0,20.0,-14.0,0.0,-224.0
"Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação",12.0,5.0,4.0,1.0,-13.0,-1.0,-1.0,-43.0,-193.0,-97.0,52.0,1.0,92.0,7.0,-25.0,-39.0,-239.0,136.0,-1453.0,-386.0,-55.0,-69.0,-616.0,-36.0,41.0,117.0,-2.0,0.0,-2800.0
Construção,-930.0,-34.0,-766.0,-118.0,-4788.0,-172.0,-961.0,-1740.0,-1481.0,-1974.0,-1603.0,62.0,-1492.0,-343.0,-158.0,-5961.0,-11459.0,-1470.0,-2455.0,-13372.0,-4510.0,-5194.0,-2798.0,-2233.0,-4702.0,-4143.0,-830.0,-6.0,-75631.0
Comércio; reparação de veículos automotores e motocicletas,2.0,287.0,-494.0,-134.0,-395.0,-176.0,-216.0,-140.0,166.0,1877.0,241.0,355.0,362.0,281.0,349.0,942.0,735.0,232.0,2572.0,-6547.0,-3362.0,-1219.0,-834.0,-713.0,-782.0,-1042.0,-293.0,-3.0,-7949.0
Serviços,-874.0,-572.0,-915.0,-543.0,-3280.0,-234.0,-255.0,-1336.0,-205.0,-719.0,-506.0,-1194.0,-4951.0,179.0,-649.0,-3964.0,-15675.0,-4111.0,-1207.0,-91262.0,-16979.0,-11125.0,-6427.0,-2962.0,-4276.0,-3595.0,-4172.0,-104.0,-181913.0
"Transporte, armazenagem e correio",-200.0,23.0,-123.0,-67.0,-77.0,4.0,-67.0,-129.0,-173.0,-50.0,-33.0,-8.0,-22.0,-158.0,-245.0,49.0,-2645.0,-1364.0,419.0,-12144.0,-1998.0,-911.0,-1574.0,-508.0,-312.0,-882.0,-1797.0,-7.0,-24999.0
Alojamento e alimentação,0.0,26.0,-377.0,-66.0,-198.0,4.0,-97.0,-66.0,85.0,484.0,191.0,91.0,131.0,320.0,-1.0,1197.0,-309.0,219.0,1608.0,-3336.0,-1746.0,566.0,348.0,-330.0,-338.0,-67.0,-190.0,-1.0,-1852.0
"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",-211.0,-71.0,73.0,-52.0,-576.0,155.0,140.0,-210.0,55.0,1685.0,-49.0,-341.0,226.0,654.0,537.0,-1179.0,-1678.0,-245.0,2219.0,-27577.0,-4988.0,-2183.0,-626.0,-710.0,-870.0,-192.0,-495.0,-37.0,-36546.0
Informação e Comunicação,-55.0,13.0,-70.0,10.0,-75.0,27.0,12.0,-18.0,72.0,293.0,5.0,-1.0,-101.0,-3.0,8.0,-91.0,-48.0,7.0,-44.0,-1024.0,-266.0,-521.0,-136.0,-17.0,-59.0,21.0,294.0,0.0,-1767.0
"Atividades Financeiras, de Seguros e Serviços Relacionados",43.0,-35.0,-9.0,-7.0,-30.0,3.0,26.0,-1.0,73.0,87.0,-13.0,0.0,-14.0,-2.0,1.0,-8.0,-77.0,-148.0,-49.0,-588.0,45.0,20.0,-160.0,25.0,-9.0,70.0,95.0,-1.0,-663.0
Atividades Imobiliárias,-44.0,-27.0,-12.0,-6.0,-52.0,-10.0,-11.0,-22.0,14.0,22.0,22.0,19.0,-8.0,50.0,3.0,101.0,-88.0,-15.0,-18.0,-161.0,-82.0,-44.0,-53.0,-7.0,-40.0,-59.0,-27.0,0.0,-555.0
"Atividades Profissionais, Científicas e Técnicas",-104.0,-70.0,89.0,-42.0,-203.0,-37.0,-155.0,-123.0,-97.0,-133.0,-13.0,-41.0,-335.0,-87.0,-26.0,-965.0,-1957.0,-254.0,-287.0,-2606.0,-921.0,-1030.0,-192.0,-252.0,-456.0,-248.0,-523.0,-38.0,-11106.0
Atividades Administrativas e Serviços Complementares,-51.0,48.0,75.0,-7.0,-216.0,172.0,268.0,-46.0,-7.0,1416.0,-50.0,-318.0,684.0,696.0,551.0,-216.0,492.0,165.0,2617.0,-23198.0,-3764.0,-608.0,-85.0,-459.0,-306.0,24.0,-334.0,2.0,-22455.0
"Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais",-393.0,-567.0,-425.0,-223.0,-2197.0,-170.0,-334.0,-823.0,-183.0,-1350.0,-578.0,-992.0,-5037.0,-625.0,-1037.0,-3762.0,-9912.0,-2519.0,-6192.0,-45010.0,-7225.0,-7532.0,-4282.0,-1127.0,-2431.0,-2192.0,-1682.0,-56.0,-108856.0
"Administração Pública, Defesa e Seguridade Social",-1.0,-341.0,453.0,2.0,-914.0,13.0,-33.0,-175.0,-44.0,-11.0,-35.0,-249.0,-1303.0,-22.0,-383.0,50.0,-1043.0,-768.0,767.0,-12199.0,-1602.0,-3887.0,-335.0,-172.0,-1274.0,-2.0,-6.0,0.0,-23514.0
Educação,-359.0,-192.0,-724.0,-230.0,-1295.0,-186.0,-265.0,-722.0,-320.0,-1749.0,-632.0,-727.0,-1988.0,-556.0,-669.0,-3690.0,-8809.0,-1580.0,-7550.0,-28107.0,-4728.0,-2971.0,-3535.0,-945.0,-1053.0,-2120.0,-2058.0,0.0,-77760.0
