Mês Janeiro/2020,Estoque 37954990,Admissões 1510221,Desligamentos 1398183,Saldos 112038,Variação Relativa (%) ----
Fevereiro/2020,38172256.0,1613855.0,1396589.0,217266.0,0.5724306606325018
Março/2020,37877191.0,1459601.0,1754666.0,-295065.0,-0.7729828700719181
Abril/2020,36895596.0,664880.0,1646475.0,-981595.0,-2.5915200522657553
Maio/2020,36497207.0,761826.0,1160215.0,-398389.0,-1.0797738570207673
Junho/2020,36443727.0,962369.0,1015849.0,-53480.0,-0.1465317606358207
Julho/2020,36552106.0,1177207.0,1068828.0,108379.0,0.2973872567973084
Agosto/2020,36766602.0,1329021.0,1114525.0,214496.0,0.5868225486104686
Setembro/2020,37066144.0,1490813.0,1191271.0,299542.0,0.8147122217059929
Outubro/2020,37432087.0,1662675.0,1296732.0,365943.0,0.9872702161843433
Novembro/2020,37808368.0,1655614.0,1279333.0,376281.0,1.0052364966986744
Dezembro/2020,37651009.0,1335630.0,1492989.0,-157359.0,-0.4162015139082438
Janeiro/2021,37905299.0,1711117.0,1456827.0,254290.0,0.6753869464693496
Fevereiro/2021,38303012.0,1864009.0,1466296.0,397713.0,1.049227972057416
Março/2021,38456596.0,1759171.0,1605587.0,153584.0,0.4009710776792175
Abril/2021,38546576.0,1503078.0,1413098.0,89980.0,0.23397806711753688
Maio/2021,38813018.0,1651507.0,1385065.0,266442.0,0.6912209271194412
Junho/2021,39131013.0,1698778.0,1380783.0,317995.0,0.8192998544972719
Julho/2021,39437861.0,1766052.0,1459204.0,306848.0,0.7841555239063195
Agosto/2021,39825687.0,1918097.0,1530271.0,387826.0,0.9833849761780944
Setembro/2021,40155807.0,1890557.0,1560437.0,330120.0,0.8289122545456655
Outubro/2021,40408516.0,1841926.0,1589217.0,252709.0,0.6293211838576672
Novembro/2021,40722621.0,1861693.0,1547588.0,314105.0,0.7773237700686657
Dezembro/2021,40431164.0,1480008.0,1771465.0,-291457.0,-0.715712773006433
Janeiro/2022,40598728.0,1851223.0,1683659.0,167564.0,0.4144426808983288
Fevereiro/2022,40952466.0,2089552.0,1735814.0,353738.0,0.871303160039891
Março/2022,41051548.0,2002674.0,1903592.0,99082.0,0.24194391614902996
Abril/2022,41257240.0,1887149.0,1681457.0,205692.0,0.5010578407420836
Maio/2022,41535099.0,2002028.0,1724169.0,277859.0,0.6734793699239213
Junho/2022,41820269.0,1933688.0,1648518.0,285170.0,0.6865759486934171
Julho/2022,42045464.0,1922897.0,1697702.0,225195.0,0.5384829064585883
Agosto/2022,42333876.0,2085288.0,1796876.0,288412.0,0.6859527106182013
Setembro/2022,42611971.0,1952597.0,1674502.0,278095.0,0.6569089019866737
Outubro/2022,42772293.0,1819239.0,1658917.0,160322.0,0.376236996875831
Novembro/2022,42900140.0,1773687.0,1645840.0,127847.0,0.29890144070601965
Dezembro/2022,42444425.0,1408871.0,1864586.0,-455715.0,-1.0622692606597555
Janeiro/2023,42534602.0,1919238.0,1829061.0,90177.0,0.21245899785425296
Fevereiro/2023,42786183.0,1989003.0,1737422.0,251581.0,0.5914737370764631
Março/2023,42979700.0,2203431.0,2009914.0,193517.0,0.45228853436166533
Abril/2023,43161367.0,1898747.0,1717080.0,181667.0,0.42268094007170826
Maio/2023,43317294.0,2023336.0,1867409.0,155927.0,0.36126520274485285
Junho/2023,43474380.0,1935307.0,1778221.0,157086.0,0.3626403809988685
Julho/2023,43617657.0,1901078.0,1757801.0,143277.0,0.329566517107317
Agosto/2023,43838407.0,2114177.0,1893427.0,220750.0,0.5061023795936587
Setembro/2023,44044110.0,1937366.0,1731663.0,205703.0,0.4692300977086143
Outubro/2023,44233155.0,1958197.0,1769152.0,189045.0,0.429217436792343
Novembro/2023,44358182.0,1875369.0,1750342.0,125027.0,0.28265449299286927
Dezembro/2023,43928023.0,1502563.0,1932722.0,-430159.0,-0.9697399230653773
Fonte: Novo Caged – MTE.,,,,,
"* A variação mensal do emprego toma como referência o estoque do mês anterior, com ajustes.",,,,,
