Mês Janeiro/2020,Salário Médio Real de Admissão 2221.078524,Salário Médio Real de Desligamento 2270.810541
Fevereiro/2020,2169.074078,2272.147856
Março/2020,2183.342119,2179.72232
Abril/2020,2324.423787,2180.556885
Maio/2020,2211.174352,2298.421564
Junho/2020,2161.482555,2352.004644
Julho/2020,2161.99536,2375.985813
Agosto/2020,2169.848313,2335.745714
Setembro/2020,2130.322118,2321.769267
Outubro/2020,2091.771259,2280.010864
Novembro/2020,2061.938082,2266.044472
Dezembro/2020,2095.602213,2241.128189
Janeiro/2021,2122.187625,2186.328453
Fevereiro/2021,2065.256231,2163.654434
Março/2021,2135.480332,2165.072189
Abril/2021,2192.160352,2203.230904
Maio/2021,2104.51094,2179.792705
Junho/2021,2107.577714,2201.089189
Julho/2021,2074.738093,2188.822093
Agosto/2021,2048.37389,2130.110963
Setembro/2021,2026.081961,2095.954137
Outubro/2021,2002.161122,2080.600157
Novembro/2021,1967.813252,2060.882307
Dezembro/2021,1967.632262,2063.627321
Janeiro/2022,2086.8242,2041.818032
Fevereiro/2022,2008.385166,2048.564935
Março/2022,1989.652706,2028.35439
Abril/2022,2005.469217,2058.308227
Maio/2022,1986.585932,2049.148125
Junho/2022,2000.099848,2084.622155
Julho/2022,2016.117459,2080.409112
Agosto/2022,2046.845531,2090.403779
Setembro/2022,2033.713704,2126.712374
Outubro/2022,2026.081961,2076.879808
Novembro/2022,2004.715092,2097.904807
Dezembro/2022,1986.153567,2114.274343
Janeiro/2023,2077.824977,2100.750371
Fevereiro/2023,2026.443941,2114.726817
Março/2023,1995.846584,2102.127906
Abril/2023,2040.872862,2122.55966
Maio/2023,2022.452107,2101.554771
Junho/2023,2035.040964,2166.660879
Julho/2023,2054.587878,2139.120241
Agosto/2023,2055.874918,2140.618436
Setembro/2023,2047.740425,2148.652378
Outubro/2023,2042.531937,2129.567994
Novembro/2023,2032.848974,2144.61027
Dezembro/2023,2026.325,2169.258
Fonte: Novo Caged – MTE.,,
* Dados sem ajustes. Sujeito a atualizações nos próximos meses.,,
** Valores deflacionados pelo INPC.,,
"*** Não incluem valores menores que 0,3 salários mínimos e maiores que 150 salários mínimos, assim como vínculos da 
modalidade intermitente.",,
