Ano,Mes,Valores_Identificados
2023,outubro,"[430003.0, 31.0, 29.0, 2.0, 0.21810250817884408, 335.0]"
2023,novembro,"[430003.0, 31.0, 29.0, 2.0, 0.21810250817884408, 335.0]"
2023,dezembro,"[430003.0, 27.0, 26.0, 1.0, 0.10869565217391304, 402.0]"
2023,agosto,"[430003.0, 30.0, 26.0, 4.0, 0.4429678848283499, 268.0]"
2023,setembro,"[430003.0, 34.0, 24.0, 10.0, 1.1037527593818985, 302.0]"
2024,outubro,"[430003.0, 50.0, 37.0, 13.0, 1.2380952380952381, 476.0]"
2024,dezembro,"[430003.0, 53.0, 39.0, 14.0, 1.3071895424836601, 509.0]"
2024,fevereiro,"[430003.0, 1031.0, 34.0, 41.0, -7.0, -0.674373795761079]"
2024,marco,"[430003.0, 1060.0, 60.0, 31.0, 29.0, 2.8128031037827355]"
2024,abril,"[430003.0, 1062.0, 46.0, 44.0, 2.0, 0.18867924528301888]"
2024,maio,"[430003.0, 1073.0, 44.0, 34.0, 10.0, 0.940733772342427]"
2024,julho,"[430003.0, 1043.0, 27.0, 41.0, -14.0, -1.3245033112582782]"
2024,agosto,"[430003.0, 1049.0, 50.0, 44.0, 6.0, 0.5752636625119847]"
2024,setembro,"[430003.0, 1049.0, 40.0, 41.0, -1.0, -0.09523809523809523]"
2025,janeiro,"[430003.0, 30.0, 44.0, -14.0, -1.2903225806451613, 517.0]"
2025,outubro,"[430003.0, 42.0, 43.0, -1.0, -0.08952551335096359, 430.0]"
2025,novembro,"[430003.0, 38.0, 31.0, 7.0, 0.6266785860061646, 469.0]"
2025,dezembro,"[430003.0, 29.0, 33.0, -4.0, -0.35555556416511536, 499.0]"
2025,fevereiro,"[430003.0, 38.0, 46.0, -8.0, -0.7434944237918215, 73.0]"
2025,marco,"[430003.0, 56.0, 44.0, 12.0, 1.1235955056179776, 129.0]"
2025,abril,"[430003.0, 48.0, 37.0, 11.0, 1.0185185185185186, 177.0]"
2025,maio,"[430003.0, 34.0, 54.0, -20.0, -1.8315018315018317, 212.0]"
2025,junho,"[430003.0, 30.0, 39.0, -9.0, -0.8395522388059702, 242.0]"
2025,julho,"[430003.0, 37.0, 26.0, 11.0, 1.0357815442561207, 279.0]"
2025,agosto,"[430003.0, 50.0, 35.0, 15.0, 1.3979496955871582, 329.0]"
2025,setembro,"[430003.0, 57.0, 30.0, 27.0, 2.4770641326904297, 388.0]"
