Ano,Mes,Setor,Saldo_Setorial
2023,9,Agropecuária,237
2023,9,Indústria,194
2023,9,Construção,43
2023,9,Comércio,7
2023,9,Serviços,302
2023,12,Agropecuária,1
2023,12,Indústria,1483
2023,12,Construção,1135
2023,12,Comércio,348
2023,12,Serviços,17
2023,11,Agropecuária,449
2023,11,Indústria,412
2023,11,Construção,37
2023,11,Comércio,2
2023,11,Serviços,512
2023,10,Agropecuária,449
2023,10,Indústria,412
2023,10,Construção,37
2023,10,Comércio,2
2023,10,Serviços,512
2023,8,Agropecuária,2
2023,8,Indústria,350
2023,8,Construção,361
2023,8,Comércio,-11
2023,8,Serviços,-1
2025,8,Agropecuária,919
2025,8,Indústria,897
2025,8,Construção,22
2025,8,Comércio,1296
2025,8,Serviços,1253
2025,5,Agropecuária,43
2025,5,Indústria,45
2025,5,Construção,-2
2025,5,Comércio,78
2025,5,Serviços,88
2025,12,Agropecuária,625
2025,12,Indústria,582
2025,12,Construção,43
2025,12,Comércio,3
2025,4,Agropecuária,43
2025,4,Indústria,49
2025,4,Construção,-6
2025,4,Comércio,-1
2025,4,Serviços,140
2025,7,Agropecuária,2
2025,7,Indústria,202
2025,7,Construção,159
2025,7,Comércio,43
2025,7,Serviços,6
2025,11,Agropecuária,500
2025,11,Indústria,491
2025,11,Construção,9
2025,11,Comércio,535
2025,11,Serviços,522
2025,1,Agropecuária,3
2025,1,Indústria,577
2025,1,Construção,560
2025,1,Comércio,17
2025,1,Serviços,1
2025,2,Agropecuária,1
2025,2,Indústria,45
2025,2,Construção,43
2025,2,Comércio,2
2025,2,Serviços,218
2025,10,Agropecuária,556
2025,10,Indústria,502
2025,10,Construção,54
2025,10,Comércio,4
2025,10,Serviços,622
2025,6,Agropecuária,914
2025,6,Indústria,871
2025,6,Construção,43
2025,6,Comércio,1
2025,6,Serviços,1530
2025,9,Agropecuária,511
2025,9,Indústria,447
2025,9,Construção,64
2025,9,Comércio,5
2025,9,Serviços,619
2024,8,Agropecuária,43
2024,8,Indústria,6007
2024,8,Construção,5317
2024,8,Comércio,690
2024,8,Serviços,6
2024,9,Agropecuária,-7
2024,9,Indústria,1873
2024,9,Construção,1830
2024,9,Comércio,43
2024,9,Serviços,1
2024,2,Agropecuária,13
2024,2,Indústria,2
2024,2,Construção,195
2024,2,Comércio,190
2024,2,Serviços,5
2024,5,Agropecuária,-7
2024,5,Indústria,-1
2024,5,Construção,82
2024,5,Comércio,83
2024,5,Serviços,35
2024,7,Agropecuária,9
2024,7,Indústria,5
2024,7,Construção,4
2024,7,Comércio,10
2024,7,Serviços,2
2024,10,Agropecuária,420
2024,10,Indústria,390
2024,10,Construção,30
2024,10,Comércio,3
2024,10,Serviços,363
2024,4,Agropecuária,29
2024,4,Indústria,4
2024,4,Construção,282
2024,4,Comércio,250
2024,4,Serviços,32
2024,12,Agropecuária,-4
2024,12,Indústria,542
2024,12,Construção,499
2024,12,Comércio,43
2024,12,Serviços,4
