Grupamento de Atividades Econômicas e Seção CNAE 2.0,Dezembro/2023 - sem ajuste Admissões,Dezembro/2023 - sem ajuste Desligamentos,Dezembro/2023 - sem ajuste Saldos,Dezembro/2023 - sem ajuste Variação Relativa (%),Acumulado do Ano (2023) Admissões,Acumulado do Ano (2023) Desligamentos,Acumulado do Ano (2023) Saldos,Acumulado do Ano (2023) Variação Relativa (%)
Total,1502563.0,1932722.0,-430159.0,-0.9724809365282672,23257799.0,21774168.0,1483631.0,3.495467308132929
"Agricultura, pecuária, produção florestal, pesca e aquicultura",62078.0,115738.0,-53660.0,-2.988529304963654,1250314.0,1215552.0,34762.0,2.0623119346173198
Indústria geral,173547.0,284553.0,-111006.0,-1.2923003204149481,3478304.0,3351159.0,127145.0,1.5249162402470187
Indústrias Extrativas,3935.0,4370.0,-435.0,-0.1623213066305455,73351.0,59175.0,14176.0,5.58939843783884
Indústrias de Transformação,160362.0,267909.0,-107547.0,-1.3791393930129863,3258387.0,3154920.0,103467.0,1.3664168913939785
Eletricidade e Gás,1416.0,1640.0,-224.0,-0.1677123732798251,21306.0,18736.0,2570.0,1.958856393722513
"Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação",7834.0,10634.0,-2800.0,-0.7177168402003455,125260.0,118328.0,6932.0,1.8200292485946759
Construção,115631.0,191262.0,-75631.0,-2.828203581595941,2297581.0,2138641.0,158940.0,6.565777156845816
Comércio; reparação de veículos automotores e motocicletas,420581.0,428530.0,-7949.0,-0.08058750511465547,5455663.0,5179135.0,276528.0,2.860533180428403
Serviços,730726.0,912635.0,-181909.0,-0.8536373051548415,10775937.0,9889681.0,886256.0,4.358651142219524
"Transporte, armazenagem e correio",80217.0,105216.0,-24999.0,-0.9443752084791665,1239303.0,1125353.0,113950.0,4.52244992562465
Alojamento e alimentação,111576.0,113428.0,-1852.0,-0.09297067407754718,1491463.0,1371672.0,119791.0,6.354929870361362
"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",405135.0,441681.0,-36546.0,-0.38950803108518367,5527992.0,5147240.0,380752.0,4.216992035104682
Informação e Comunicação,28325.0,30092.0,-1767.0,-0.15279387095100566,435928.0,420994.0,14934.0,1.3068040616457297
"Atividades Financeiras, de Seguros e Serviços Relacionados",14891.0,15554.0,-663.0,-0.062381270940771665,233811.0,220278.0,13533.0,1.287576923516047
Atividades Imobiliárias,5391.0,5946.0,-555.0,-0.29111088964536924,86034.0,81682.0,4352.0,2.3392064328176905
"Atividades Profissionais, Científicas e Técnicas",51446.0,62552.0,-11106.0,-0.7456528759601808,837827.0,769433.0,68394.0,4.832688800533055
Atividades Administrativas e Serviços Complementares,305082.0,327537.0,-22455.0,-0.4095203496324439,3934392.0,3654853.0,279539.0,5.340951645815341
"Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais",94165.0,203021.0,-108856.0,-1.836104683740178,1898212.0,1693353.0,204859.0,3.648821563454467
"Administração Pública, Defesa e Seguridade Social",4125.0,27639.0,-23514.0,-2.220474180873175,144983.0,104746.0,40237.0,4.044830192927855
Educação,18377.0,96137.0,-77760.0,-3.8881399730390296,692714.0,635166.0,57548.0,3.0939701774995227
Saúde Humana e Serviços Sociais,71663.0,79245.0,-7582.0,-0.26420447516802004,1060515.0,953441.0,107074.0,3.8800452383256023
Serviços domésticos,79.0,76.0,3.0,0.23659305993690852,986.0,931.0,55.0,4.4606650446066505
Outros serviços,39554.0,49213.0,-9659.0,-0.711169162397492,617981.0,551132.0,66849.0,5.206365178436525
"Artes, Cultura, Esporte e Recreação",11650.0,11312.0,338.0,0.12087098631440045,159025.0,133482.0,25543.0,9.97052910982298
Outras Atividades de Serviços,27856.0,37836.0,-9980.0,-0.9279810461266089,458352.0,417100.0,41252.0,4.02551221549547
Organismos Internacionais e Outras Instituições Extraterritoriais,48.0,65.0,-17.0,-0.5490956072351421,604.0,550.0,54.0,1.7780704642739547
Não identificado,0.0,4.0,-4.0,---,13.0,46.0,-33.0,---
Fonte: Novo Caged – MTE.,,,,,,,,
"* A variação mensal do emprego toma como referência o estoque do mês anterior, com ajustes.",,,,,,,,
** Resultados acrescidos dos ajustes até a competência de referência; a variação relativa toma como referência os estoques com ajustes do mês atual e do mesmo mês do ano anterior.,,,,,,,,
