UF,Código do Município,Município,Dezembro/2023 - sem ajuste Admissões,Dezembro/2023 - sem ajuste Desligamentos,Dezembro/2023 - sem ajuste Saldos,Dezembro/2023 - sem ajuste Variação Relativa (%),Acumulado do Ano (2023) Admissões,Acumulado do Ano (2023) Desligamentos,Acumulado do Ano (2023) Saldos,Acumulado do Ano (2023) Variação Relativa (%)
RO,110001.0,Ro-Alta Floresta D Oeste,56.0,97.0,-41.0,-2.0438683948155534,1188.0,1156.0,32.0,1.6376663254861823
RO,110002.0,Ro-Ariquemes,583.0,675.0,-92.0,-0.5067753663104549,11642.0,11035.0,607.0,3.443971631205674
RO,110003.0,Ro-Cabixi,10.0,6.0,4.0,0.9009009009009009,193.0,190.0,3.0,0.6651884700665188
RO,110004.0,Ro-Cacoal,753.0,774.0,-21.0,-0.12190166598943519,11617.0,11153.0,464.0,2.7647023774057082
RO,110005.0,Ro-Cerejeiras,90.0,94.0,-4.0,-0.17086715079026057,1455.0,1328.0,127.0,5.746606334841629
RO,110006.0,Ro-Colorado do Oeste,47.0,54.0,-7.0,-0.358974358974359,928.0,970.0,-42.0,-2.1549512570549
RO,110007.0,Ro-Corumbiara,46.0,62.0,-16.0,-1.1816838995568686,1038.0,828.0,210.0,18.71657754010695
RO,110008.0,Ro-Costa Marques,12.0,19.0,-7.0,-1.2681159420289856,264.0,268.0,-4.0,-0.7259528130671506
RO,110009.0,Ro-Espigao D Oeste,164.0,228.0,-64.0,-1.3608335105251965,2957.0,2924.0,33.0,0.7205240174672489
RO,110010.0,Ro-Guajara-Mirim,101.0,219.0,-118.0,-3.320202588632527,1888.0,1565.0,323.0,10.231232182451695
RO,110011.0,Ro-Jaru,372.0,406.0,-34.0,-0.33533879080777196,5690.0,5065.0,625.0,6.58865696816361
RO,110012.0,Ro-Ji-Parana,1090.0,1188.0,-98.0,-0.34980011422044544,17727.0,16517.0,1210.0,4.51071761416589
RO,110013.0,Ro-Machadinho D Oeste,76.0,108.0,-32.0,-1.1619462599854757,1677.0,1619.0,58.0,2.1706586826347305
RO,110014.0,Ro-Nova Brasilandia D Oeste,47.0,53.0,-6.0,-0.39215686274509803,857.0,732.0,125.0,9.005763688760807
RO,110015.0,Ro-Ouro Preto do Oeste,203.0,161.0,42.0,0.8452404910444757,2878.0,2771.0,107.0,2.174354805933753
RO,110018.0,Ro-Pimenta Bueno,253.0,240.0,13.0,0.14066219433023155,4649.0,4377.0,272.0,3.02322996554407
RO,110020.0,Ro-Porto Velho,2878.0,4119.0,-1241.0,-1.3302462188206794,49927.0,46313.0,3614.0,4.083246712161612
RO,110025.0,Ro-Presidente Medici,81.0,122.0,-41.0,-1.696317749275962,1357.0,1237.0,120.0,5.338078291814947
RO,110026.0,Ro-Rio Crespo,12.0,10.0,2.0,0.315955766192733,357.0,299.0,58.0,10.069444444444445
RO,110028.0,Ro-Rolim de Moura,471.0,490.0,-19.0,-0.15390846496557312,7299.0,6349.0,950.0,8.317282437401506
RO,110029.0,Ro-Santa Luzia D Oeste,13.0,31.0,-18.0,-2.803738317757009,281.0,269.0,12.0,1.9933554817275747
RO,110030.0,Ro-Vilhena,1047.0,1137.0,-90.0,-0.3788038217096679,16571.0,15389.0,1182.0,5.243312780020405
RO,110032.0,Ro-Sao Miguel do Guapore,123.0,86.0,37.0,1.2896479609620077,1721.0,1536.0,185.0,6.80397204854726
RO,110033.0,Ro-Nova Mamore,42.0,53.0,-11.0,-0.8533747090768037,759.0,717.0,42.0,3.395311236863379
RO,110034.0,Ro-Alvorada D Oeste,20.0,21.0,-1.0,-0.13192612137203166,302.0,328.0,-26.0,-3.3121019108280256
RO,110037.0,Ro-Alto Alegre dos Parecis,15.0,39.0,-24.0,-3.418803418803419,365.0,371.0,-6.0,-0.8823529411764706
RO,110040.0,Ro-Alto Paraiso,26.0,66.0,-40.0,-3.7243947858473,576.0,602.0,-26.0,-2.4714828897338403
RO,110045.0,Ro-Buritis,112.0,116.0,-4.0,-0.1314060446780552,2078.0,1979.0,99.0,3.3468559837728193
RO,110050.0,Ro-Novo Horizonte do Oeste,14.0,13.0,1.0,0.19193857965451055,288.0,290.0,-2.0,-0.3861003861003861
RO,110060.0,Ro-Cacaulandia,14.0,19.0,-5.0,-1.6233766233766231,142.0,148.0,-6.0,-1.9607843137254901
RO,110070.0,Ro-Campo Novo de Rondonia,13.0,21.0,-8.0,-1.5355086372360844,238.0,243.0,-5.0,-0.9765625
RO,110080.0,Ro-Candeias do Jamari,92.0,69.0,23.0,1.1917098445595855,1316.0,1116.0,200.0,11.428571428571429
RO,110090.0,Ro-Castanheiras,4.0,3.0,1.0,0.38167938931297707,79.0,80.0,-1.0,-0.37735849056603776
