Mês Janeiro/2020,Estoque 37502058,Admissões 1384986,Desligamentos 1292308,Saldos 92678,Variação Relativa (%) ----
Fevereiro/2020,37700426.0,1483832.0,1285464.0,198368.0,0.5289523044308662
Março/2020,37468110.0,1347665.0,1579981.0,-232316.0,-0.6162158485954509
Abril/2020,36565793.0,617644.0,1519961.0,-902317.0,-2.4082266225865143
Maio/2020,36213003.0,716330.0,1069120.0,-352790.0,-0.9648088310295909
Junho/2020,36189892.0,910176.0,933287.0,-23111.0,-0.06381961750037687
Julho/2020,36313189.0,1061898.0,938601.0,123297.0,0.34069457847511675
Agosto/2020,36551314.0,1257362.0,1019237.0,238125.0,0.6557534784400235
Setembro/2020,36864878.0,1406746.0,1093182.0,313564.0,0.8578733995719006
Outubro/2020,37253816.0,1571402.0,1182464.0,388938.0,1.05503672085935
Novembro/2020,37662764.0,1552837.0,1143889.0,408948.0,1.0977345246994294
Dezembro/2020,37580646.0,1256247.0,1338365.0,-82118.0,-0.2180349801198871
Janeiro/2021,37837705.0,1550075.0,1293016.0,257059.0,0.6840196413866861
Fevereiro/2021,38235620.0,1715425.0,1317510.0,397915.0,1.0516361919942026
Março/2021,38411950.0,1626885.0,1450555.0,176330.0,0.46116683867032887
Abril/2021,38525872.0,1396311.0,1282389.0,113922.0,0.2965795800525618
Maio/2021,38804577.0,1558316.0,1279611.0,278705.0,0.7234229506862297
Junho/2021,39114613.0,1609748.0,1299712.0,310036.0,0.7989676063212853
Julho/2021,39431338.0,1666051.0,1349326.0,316725.0,0.8097357373828549
Agosto/2021,39804682.0,1819411.0,1446067.0,373344.0,0.9468205212818291
Setembro/2021,40121675.0,1789967.0,1472974.0,316993.0,0.7963711404603107
Outubro/2021,40374758.0,1760739.0,1507656.0,253083.0,0.6307887195636772
Novembro/2021,40698870.0,1772766.0,1448654.0,324112.0,0.8027589911498665
Dezembro/2021,40433059.0,1437910.0,1703721.0,-265811.0,-0.6531164133058239
Janeiro/2022,40588237.0,1777646.0,1622468.0,155178.0,0.3837899081541171
Fevereiro/2022,40916744.0,2013143.0,1684636.0,328507.0,0.8093650384469766
Março/2022,41052933.0,1953071.0,1816882.0,136189.0,0.33284417743503736
Abril/2022,41249899.0,1854557.0,1657591.0,196966.0,0.4797854516265622
Maio/2022,41526917.0,1960960.0,1683942.0,277018.0,0.6715604321843309
Junho/2022,41804861.0,1898876.0,1620932.0,277944.0,0.6693104619348458
Julho/2022,42023763.0,1886537.0,1667635.0,218902.0,0.5236281015262795
Agosto/2022,42302402.0,2051800.0,1773161.0,278639.0,0.6630510456667101
Setembro/2022,42580487.0,1926572.0,1648487.0,278085.0,0.6573740186195574
Outubro/2022,42739941.0,1789462.0,1630008.0,159454.0,0.3744766939842656
Novembro/2022,42875436.0,1747894.0,1612399.0,135495.0,0.3170219631327989
Dezembro/2022,42444425.0,1382923.0,1813934.0,-431011.0,-1.0052632467690825
Janeiro/2023,42527722.0,1874226.0,1790929.0,83297.0,0.19624956634469662
Fevereiro/2023,42769507.0,1949844.0,1708059.0,241785.0,0.5685350369812895
Março/2023,42964678.0,2168418.0,1973247.0,195171.0,0.456332124660684
Abril/2023,43144683.0,1865279.0,1685274.0,180005.0,0.4189604307054274
Maio/2023,43299953.0,2000202.0,1844932.0,155270.0,0.35988212035304556
Junho/2023,43457151.0,1914130.0,1756932.0,157198.0,0.36304427397415423
Julho/2023,43599853.0,1883198.0,1740496.0,142702.0,0.32837403445982916
Agosto/2023,43820697.0,2099211.0,1878367.0,220844.0,0.5065246435578579
Setembro/2023,44032461.0,1917057.0,1705293.0,211764.0,0.48325109936065147
Outubro/2023,44222827.0,1941281.0,1750915.0,190366.0,0.4323310477695081
Novembro/2023,44352924.0,1866752.0,1736655.0,130097.0,0.2941851727389567
Dezembro/2023,43922765.0,1502563.0,1932722.0,-430159.0,-0.9698548848774885
Fonte: Novo Caged – MTE.,,,,,
"* A variação mensal do emprego toma como referência o estoque do mês anterior, sem ajustes.",,,,,
