REGIAO:;S
UF:;RS
ESTACAO:;SANTANA DO LIVRAMENTO
CODIGO (WMO):;A804
LATITUDE:;-30,75055555
LONGITUDE:;-55,40138888
ALTITUDE:;196
DATA DE FUNDACAO:;22/11/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;986,3;986,3;985,9;;24;15,4;25,6;23,8;15,8;15,4;60;54;59;175;3;1,9;
2025/01/01;0100 UTC;0;986,4;986,4;986,2;;24,9;14,9;25;23,8;15,4;14,9;59;54;54;194;3,3;2,3;
2025/01/01;0200 UTC;0;987,3;987,3;986,4;;22,9;16,5;25,2;22,9;16,5;14,9;67;53;67;97;4,9;2,6;
2025/01/01;0300 UTC;0;987,4;987,4;987,2;;22,8;20;23,3;22,5;20;16,6;84;67;84;45;6,8;2,7;
2025/01/01;0400 UTC;0;987,5;987,6;987,3;;22,3;19,5;22,8;22,1;20;19,5;86;84;85;54;4,8;2,7;
2025/01/01;0500 UTC;0;987,3;987,5;987,3;;20,7;19,4;22,3;20,7;19,6;19,3;92;84;92;97;5,4;1,4;
2025/01/01;0600 UTC;0;987;987,3;987;;20,2;19,2;20,7;20,1;19,4;19,1;94;92;94;122;3,2;1,6;
2025/01/01;0700 UTC;0;987;987,2;987;;19,4;18,7;20,2;19,4;19,2;18,7;96;94;96;170;3,2;1,4;
2025/01/01;0800 UTC;0;987,4;987,4;986,9;;19,1;18,6;19,5;19;19;18,4;97;96;97;163;3,1;,6;
2025/01/01;0900 UTC;0;987,7;987,8;987,4;11,7;19,2;18,8;19,3;18,9;18,8;18,5;97;97;97;110;2,9;1,6;
