REGIAO:;S
UF:;RS
ESTACAO:;SAO JOSE DOS AUSENTES
CODIGO (WMO):;A829
LATITUDE:;-28,7486111
LONGITUDE:;-50,05777777
ALTITUDE:;1228,59
DATA DE FUNDACAO:;26/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;,8;877,7;878;877,4;4218,7;15,2;;15,5;15,1;;;;;;;;;
2025/01/01;0100 UTC;0;877,6;877,7;877,3;3918,5;14,7;;15,2;14,5;;;;;;;;;
2025/01/01;0200 UTC;0;877,6;877,9;877,6;4589,2;15,2;;15,5;14,7;;;;;;;;;
2025/01/01;0300 UTC;0;877;877,6;877;2908,4;15,2;;15,3;14,9;;;;;;;;;
2025/01/01;0400 UTC;0;876,6;877,1;876,6;1478,2;15,1;;15,3;14,7;;;;;;;;;
2025/01/01;0500 UTC;0;876,1;876,6;876,1;1774,8;14,7;;15,2;14,7;;;;;;;;;
2025/01/01;0600 UTC;0;875,7;876,1;875,7;2003,4;15;;15;14,7;;;;;;;;;
2025/01/01;0700 UTC;0;875,6;875,7;875,6;2120,3;14,8;;15,1;14,8;;;;;;;;;
2025/01/01;0800 UTC;0;875,9;876;875,6;2499;14,6;;14,9;14,5;;;;;;;;;
2025/01/01;0900 UTC;0;876,5;876,5;875,9;2781,2;14,7;;14,8;14,6;;;;;;;;;
2025/01/01;1000 UTC;0;877;877;876,4;1965,6;;;;;;;;;;;;;
2025/01/01;1100 UTC;0;877,1;877,2;876,9;278,8;;;;;;;;;;;;;
2025/01/01;1200 UTC;0;877,7;877,7;877;604,2;;;;;;;;;;;;;
2025/01/01;1300 UTC;0;877,9;878;877,6;371,8;20,2;;21;19,4;;;;;;;;;
2025/01/01;1400 UTC;0;877,8;878;877,7;587,8;21,6;;22;20;;;;;;;;;
2025/01/01;1500 UTC;0;877,6;877,9;877,4;690,8;;;;;;;;;;;;;
2025/01/01;1600 UTC;0;876,9;877,6;876,9;859,4;;;;;;;;;;;;;
2025/01/01;1700 UTC;0;876;876,9;876;679,4;;;;;;;;;;;;;
2025/01/01;1800 UTC;2,8;876,1;876,5;875,7;389,6;17,1;;;;;;;;;;;;
2025/01/01;1900 UTC;0;875,6;876,1;874,9;1261,8;20,6;;20,6;17;;;;;;;;;
2025/01/01;2000 UTC;0;876,1;876,4;875,6;;17,8;;20,7;14;;;;;;;;;
2025/01/01;2100 UTC;3,2;877,4;877,4;875,6;514,8;14,1;;17,8;13,6;;;;;;;;;
2025/01/01;2200 UTC;4,4;877,3;878,1;877,3;2212,9;14,1;;14,5;14;;;;;;;;;
2025/01/01;2300 UTC;1,8;876,5;877,3;876;1884,8;15,3;;15,3;14,1;;;;;;;;;
2025/01/02;0000 UTC;0;876,4;876,9;876,4;568,8;16;;16;14,9;;;;;;;;;
2025/01/02;0100 UTC;0;877,2;877,3;876,4;;15,6;;16;14,7;;;;;;;;;
2025/01/02;0200 UTC;0;876,5;877,3;876,4;;15,9;;15,9;15,1;;;;;;;;;
2025/01/02;0300 UTC;0;876;876,8;876;;15,2;;16,2;15,1;;;;;;;;;
2025/01/02;0400 UTC;0;874,7;876;874,7;;15,2;;15,8;15,1;;;;;;;;;
2025/01/02;0500 UTC;0;874,3;874,8;874,3;;15,4;;15,4;15;;;;;;;;;
2025/01/02;0600 UTC;0;873,6;874,3;873,6;;15,5;;15,7;15,3;;;;;;;;;
2025/01/02;0700 UTC;0;873,4;873,6;873,3;;15,7;;15,8;15,3;;;;;;;;;
2025/01/02;0800 UTC;0;873,6;873,8;873,3;;15,9;;15,9;15,3;;;;;;;;;
2025/01/02;0900 UTC;0;874,2;874,3;873,6;0;15,6;;16;15,6;;;;;;;;;
2025/01/02;1000 UTC;4,4;875,9;876,1;874,2;1146,8;14,5;;15,8;14,5;;;;;;;;;
2025/01/02;1100 UTC;7,8;876,7;876,8;875,6;1099,6;14,7;;14,8;14,5;;;;;;;;;
2025/01/02;1200 UTC;4;876,7;876,7;876,2;130,7;15;;15,1;14,6;;;;;;;;;
2025/01/02;1300 UTC;6,2;876,5;876,8;876,1;141,1;15,4;;15,8;15;;;;;;;;;
2025/01/02;1400 UTC;1,2;875,4;876,5;875,3;734,8;17,3;;17,4;15,4;;;;;;;;;
2025/01/02;1500 UTC;0;874,9;875,4;874,9;1583,8;19;;19,7;17,3;;;;;;;;;
2025/01/02;1600 UTC;0;874,3;875;874,3;2180,9;21,2;;22;19;;;;;;;;;
