REGIAO:;S
UF:;RS
ESTACAO:;CAMPO BOM
CODIGO (WMO):;A884
LATITUDE:;-29,67416666
LONGITUDE:;-51,06416666
ALTITUDE:;23,35
DATA DE FUNDACAO:;29/11/13
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;1007,6;1008,2;1007,6;;23,6;18,4;24,8;23,5;18,5;17,4;73;64;73;80;3,3;1,3;
2025/01/01;0100 UTC;0;1008,3;1008,4;1007,5;;24,1;19,6;24,4;23,6;19,6;18,4;76;71;76;79;5,2;1,5;
2025/01/01;0200 UTC;0;1008,4;1008,4;1008,1;;22,4;19,5;24,1;22,4;19,7;19,4;84;76;84;250;3,5;,3;
2025/01/01;0300 UTC;0;1008,5;1008,8;1008,4;;22,1;19,1;22,6;22,1;19,9;19,1;86;83;83;268;3,1;1,7;
2025/01/01;0400 UTC;0;1008;1008,5;1008;;20,7;18,4;22,1;20,7;19,1;18,4;87;83;87;341;3,1;,3;
2025/01/01;0500 UTC;0;1007,4;1008;1007,4;;20;18,3;20,7;20;18,6;18,3;90;87;90;240;1,7;,2;
2025/01/01;0600 UTC;0;1007,4;1007,6;1007,4;;19,6;18,3;20;19,6;18,5;18,1;92;90;92;267;,9;,4;
2025/01/01;0700 UTC;0;1007,3;1007,4;1007;;19,3;18,2;19,6;19,2;18,3;18;93;92;93;38;1,5;,4;
2025/01/01;0800 UTC;0;1007,7;1007,7;1007,2;;18,9;17,9;19,4;18,9;18,3;17,8;94;93;94;278;1,6;,2;
2025/01/01;0900 UTC;0;1008,3;1008,4;1007,7;22,3;19,4;18,4;19,4;18,9;18,4;17,8;94;94;94;70;1,4;,2;
2025/01/01;1000 UTC;0;1008,6;1008,6;1008,3;132,9;21,2;20;21,2;19,4;20;18,4;94;93;93;134;1,3;,4;
2025/01/01;1100 UTC;0;1008,8;1008,9;1008,5;972,4;24,7;18,6;24,7;21,2;20,4;18,6;93;69;69;87;1,9;,7;
2025/01/01;1200 UTC;0;1008,8;1009;1008,7;1677,5;27,9;18;28;24,7;19,6;18;70;54;55;102;2,2;,9;
2025/01/01;1300 UTC;0;1008,2;1008,8;1008,2;2072,6;30,2;18,6;30,2;27,6;19,7;17,4;59;47;50;108;3,2;,9;
2025/01/01;1400 UTC;0;1007,8;1008,3;1007,8;2469;31,6;19,2;31,8;29,6;20,3;17,9;56;46;48;123;3,9;,9;
2025/01/01;1500 UTC;0;1007;1007,8;1007;2949,3;33;20,6;33;31,4;21,1;18,6;52;44;48;106;3,7;1;
2025/01/01;1600 UTC;0;1006,1;1007;1006;3302,5;34,4;20,4;34,4;32,9;21,4;19,2;50;42;44;153;4,4;1,1;
2025/01/01;1700 UTC;0;1005;1006,1;1005;2312,7;33,5;20,7;35,3;32,7;22,1;18,4;49;39;47;140;3,9;,8;
2025/01/01;1800 UTC;0;1004,2;1005;1004,2;1851;32,9;20,8;35,8;32,8;21,5;18,7;49;37;49;168;4,7;1,1;
2025/01/01;1900 UTC;0;1003,9;1004,4;1003,8;1615,4;34,5;21,8;35,3;32,8;22,2;19,6;50;41;48;117;5,1;1,3;
2025/01/01;2000 UTC;22,8;1006,6;1007,5;1003,9;395,4;20,5;19,4;34,5;20,3;21,9;15;93;41;93;321;13,2;5,2;
2025/01/01;2100 UTC;14,6;1007,4;1007,6;1006,6;7,3;20,9;20;21,2;20,5;20,3;19,4;95;93;95;87;13,2;1,2;
2025/01/01;2200 UTC;,8;1006,9;1008,2;1006,9;6,2;21;20,1;21,3;20,8;20,4;19,9;95;95;95;73;5,8;2,7;
2025/01/01;2300 UTC;0;1006,3;1006,9;1005,8;4,9;20,3;19,3;21;20,2;20,1;19,3;95;94;94;42;6,4;1,4;
2025/01/02;0000 UTC;0;1005,9;1006,5;1005,9;,2;20,1;19,2;20,3;20;19,4;19,1;94;94;94;110;4,3;,5;
2025/01/02;0100 UTC;0;1007;1007;1005,9;;20,3;19,4;20,3;20;19,4;19,1;94;94;94;223;3,1;1;
2025/01/02;0200 UTC;,2;1006,5;1007,2;1006,4;;20,1;19,2;20,3;20;19,4;19;95;94;95;80;3,1;,3;
2025/01/02;0300 UTC;0;1005,5;1006,5;1005,5;;20,1;19,2;20,2;20;19,3;19,2;95;95;95;50;1,8;,7;
2025/01/02;0400 UTC;0;1005,2;1005,6;1005,1;;20,1;19,2;20,3;20,1;19,4;19,2;95;95;95;184;1,8;,3;
2025/01/02;0500 UTC;0;1005,9;1005,9;1005,2;;20,1;19,3;20,3;20;19,4;19,1;95;95;95;256;2;1;
2025/01/02;0600 UTC;3,4;1007,1;1007,2;1005,9;1,8;20,6;19,7;20,7;20,1;19,8;19,3;95;95;95;286;2,6;,8;
2025/01/02;0700 UTC;5;1006,8;1007,2;1006,7;,5;20,5;19,6;20,6;20,4;19,8;19,5;95;95;95;44;2,7;,9;
2025/01/02;0800 UTC;0;1006,5;1007;1006,5;,4;20,4;19,5;20,6;20,4;19,7;19,5;95;95;95;73;2,7;1,1;
2025/01/02;0900 UTC;0;1006,2;1006,5;1005,9;9,2;20,5;19,7;20,5;20,3;19,7;19,4;95;95;95;68;4,1;1,7;
2025/01/02;1000 UTC;0;1006;1006,3;1005,8;90,2;20,9;20,1;20,9;20,5;20,1;19,7;95;95;95;152;4;,4;
2025/01/02;1100 UTC;,2;1005,6;1006;1005,1;902,3;24,5;23,3;24,8;20,9;23,7;20;95;93;93;93;2,2;,5;
2025/01/02;1200 UTC;0;1005,8;1005,8;1005,6;832,2;25,5;21,3;25,7;24,4;23;20,8;93;75;78;229;1,8;,5;
2025/01/02;1300 UTC;0;1005,5;1005,8;1005,5;1422,6;29,3;20,6;29,3;25,5;22,1;19,9;78;59;59;318;4,3;1,3;
2025/01/02;1400 UTC;0;1005,1;1005,5;1005,1;2609,7;31,4;21;31,6;29,3;21,4;19,5;59;49;54;304;6,1;1,5;
2025/01/02;1500 UTC;0;1004,5;1005,2;1004,5;2476,4;31,8;20,9;32,2;30;21,2;19,2;55;49;53;312;6,2;1,7;
2025/01/02;1600 UTC;0;1003,9;1004,5;1003,9;2853,2;31,8;20,1;32,9;31,7;21,1;19,6;55;47;50;256;7,6;2,8;
2025/01/02;1700 UTC;0;1002,6;1003,9;1002,6;2955,3;33,4;20,3;34,2;31,8;22,1;18,9;53;44;47;227;5,8;2,1;
2025/01/02;1800 UTC;0;1001,9;1002,6;1001,6;2277,3;34,4;20,1;34,7;32,9;21,7;19,2;49;41;43;231;5,8;1,7;
2025/01/02;1900 UTC;0;1002,6;1002,8;1001,9;1716,3;30,5;18,8;35;30;20,8;17,5;54;38;50;328;12,6;1,9;
